ID,query_movie_id,recommended_movie_id,position,title,genre
6588_7,6588,5076,7,"Adventures of Huck Finn, The (1993)",Adventure|Children|Comedy|Drama
6588_8,6588,1705,8,Guy (1997),Drama
6588_9,6588,6899,9,Alien from L.A. (1988),Sci-Fi
6588_10,6588,6637,10,Thrashin' (1986),Action|Drama
87834_1,87834,6529,1,Strange Bedfellows (1965),Comedy
87834_2,87834,3734,2,Prince of the City (1981),Drama
87834_3,87834,497,3,Much Ado About Nothing (1993),Comedy|Romance
87834_4,87834,1307,4,When Harry Met Sally... (1989),Comedy|Romance
87834_5,87834,1919,5,Madeline (1998),Children|Comedy
87834_6,87834,1979,6,Friday the 13th Part VI: Jason Lives (1986),Horror
87834_7,87834,8944,7,"Dust Factory, The (2004)",Adventure|Children|Romance
87834_8,87834,1312,8,Female Perversions (1996),Drama
87834_9,87834,3704,9,Mad Max Beyond Thunderdome (1985),Action|Adventure|Sci-Fi
87834_10,87834,1339,10,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
94323_1,94323,7989,1,Not of This Earth (1988),Sci-Fi
94323_2,94323,7152,2,"Statement, The (2003)",Drama|Thriller
94323_3,94323,4197,3,Real Life (1979),Comedy
94323_4,94323,6083,4,Hammett (1982),Crime|Mystery
94323_5,94323,8972,5,National Treasure (2004),Action|Adventure|Drama|Mystery|Thriller
94323_6,94323,4919,6,Subway (1985),Crime|Drama|Romance|Thriller
94323_7,94323,5444,7,Lilo & Stitch (2002),Adventure|Animation|Children|Sci-Fi
94323_8,94323,5445,8,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
94323_9,94323,3390,9,Shanghai Surprise (1986),Adventure|Crime|Drama|Romance
94323_10,94323,8696,10,Breezy (1973),Drama|Romance
4495_1,4495,8,1,Tom and Huck (1995),Adventure|Children
4495_2,4495,3398,2,"Muppets Take Manhattan, The (1984)",Children|Comedy|Musical
4495_3,4495,3039,3,Trading Places (1983),Comedy
4495_4,4495,2266,4,"Butcher's Wife, The (1991)",Comedy|Romance
4495_5,4495,6347,5,Beat Street (1984),Drama|Musical
4495_6,4495,1706,6,Tar (1996),Drama
4495_7,4495,1003,7,Extreme Measures (1996),Drama|Thriller
4495_8,4495,2730,8,Barry Lyndon (1975),Drama|Romance|War
4495_9,4495,905,9,It Happened One Night (1934),Comedy|Romance
4495_10,4495,62,10,Mr. Holland's Opus (1995),Drama
52435_1,52435,4623,1,Major League (1989),Comedy
52435_2,52435,620,2,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),Drama
52435_3,52435,4399,3,"Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964)",Comedy|Drama
52435_4,52435,2471,4,Crocodile Dundee II (1988),Action|Adventure|Comedy
52435_5,52435,1268,5,Pump Up the Volume (1990),Comedy|Drama
52435_6,52435,1979,6,Friday the 13th Part VI: Jason Lives (1986),Horror
52435_7,52435,6529,7,Strange Bedfellows (1965),Comedy
52435_8,52435,1493,8,Love and Other Catastrophes (1996),Romance
52435_9,52435,5987,9,"Love, Honour and Obey (2000)",Comedy|Crime|Drama
52435_10,52435,2047,10,"Gnome-Mobile, The (1967)",Adventure|Children|Fantasy|Musical
7179_1,7179,1246,1,Dead Poets Society (1989),Drama
7179_2,7179,7976,2,Ken Park (2002),Drama
7179_3,7179,3249,3,"Hand That Rocks the Cradle, The (1992)",Drama|Thriller
7179_4,7179,3631,4,It's in the Water (1998),Comedy
7179_5,7179,3300,5,Pitch Black (2000),Horror|Sci-Fi|Thriller
7179_6,7179,1292,6,Being There (1979),Comedy|Drama
7179_7,7179,8477,7,"Pier, The (Jetée, La) (1962)",Romance|Sci-Fi
7179_8,7179,8938,8,Tarnation (2003),Documentary
7179_9,7179,2033,9,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
7179_10,7179,29,10,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
69131_1,69131,6835,1,Alien Contamination (1980),Action|Horror|Sci-Fi
69131_2,69131,6407,2,"Walk, Don't Run (1966)",Comedy|Romance
69131_3,69131,6908,3,"Black Scorpion, The (1957)",Sci-Fi
69131_4,69131,4005,4,"Living Daylights, The (1987)",Action|Adventure|Thriller
69131_5,69131,943,5,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
69131_6,69131,6483,6,From Justin to Kelly (2003),Musical|Romance
69131_7,69131,4000,7,"Bounty, The (1984)",Adventure|Drama
69131_8,69131,3334,8,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
69131_9,69131,4394,9,Beach Blanket Bingo (1965),Comedy|Musical
69131_10,69131,7067,10,Juliet of the Spirits (Giulietta degli spiriti) (1965),Comedy|Drama|Fantasy|Romance
2071_1,2071,6447,1,Duel at Diablo (1966),War
2071_2,2071,8888,2,Stealing Time (a.k.a. Rennie's Landing) (2001),Drama
2071_3,2071,2500,3,Jawbreaker (1999),Comedy
2071_4,2071,5750,4,Going Ape! (1981),Comedy
2071_5,2071,5749,5,Ghost Story (1981),Drama|Horror
2071_6,2071,7768,6,Guncrazy (1992),Crime|Drama|Thriller
2071_7,2071,5559,7,Mad Love (Juana la Loca) (2001),Drama
2071_8,2071,5558,8,Love and a Bullet (2002),Action|Crime
2071_9,2071,1619,9,Seven Years in Tibet (1997),Adventure|Drama|War
2071_10,2071,189,10,Reckless (1995),Comedy|Fantasy
27480_1,27480,2683,1,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
27480_2,27480,5456,2,Wagons East (1994),Comedy|Western
27480_3,27480,5457,3,Zebrahead (1992),Drama
27480_4,27480,4691,4,Def-Con 4 (1985),Action|Sci-Fi
27480_5,27480,8873,5,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama
27480_6,27480,2699,6,Arachnophobia (1990),Comedy|Horror
27480_7,27480,6187,7,"Life of David Gale, The (2003)",Crime|Drama|Thriller
27480_8,27480,7832,8,"Thin Man Goes Home, The (1945)",Comedy|Crime|Mystery
27480_9,27480,836,9,Chain Reaction (1996),Action|Adventure|Thriller
27480_10,27480,7145,10,Prisoner of Paradise (2002),Documentary
130518_1,130518,1879,1,"Hanging Garden, The (1997)",Drama|Romance
130518_2,130518,3772,2,"Hatchet for the Honeymoon (Rosso segno della follia, Il) (1970)",Fantasy|Horror|Thriller
130518_3,130518,954,3,Mr. Smith Goes to Washington (1939),Drama
130518_4,130518,6866,4,Nine Dead Gay Guys (2003),Comedy|Crime
130518_5,130518,1840,5,He Got Game (1998),Drama
130518_6,130518,7113,6,Cabeza de Vaca (1991),Action|Adventure
130518_7,130518,4869,7,Burnt Money (Plata Quemada) (2000),Action|Crime|Drama|Romance|Thriller
